,Year_of_Release,Global_Sales,Critic_Score,User_Score,Genre__Action,Genre__Adventure,Genre__Fighting,Genre__Misc,Genre__Platform,Genre__Puzzle,Genre__Racing,Genre__Role-Playing,Genre__Shooter,Genre__Simulation,Genre__Sports,Genre__Strategy,Rating__AO,Rating__E,Rating__E10+,Rating__M,Rating__RP,Rating__T
196,2007.0,4.09,91.0,7.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
197,2016.0,4.08,88.0,8.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
198,2007.0,4.07,93.0,8.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
199,2010.0,4.05,84.0,8.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
200,2007.0,4.05,90.0,8.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
201,2007.0,4.05,56.0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202,2014.0,4.05,80.0,6.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
203,2000.0,4.05,85.0,8.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
204,2014.0,4.04,85.0,7.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
205,2009.0,3.97,89.0,8.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
206,2015.0,3.97,92.0,9.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
207,2014.0,3.96,70.0,4.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
208,2015.0,3.95,87.0,7.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
209,2011.0,3.95,93.0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
210,2008.0,3.94,90.0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
211,2007.0,3.94,84.0,8.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
212,2009.0,3.9,81.0,8.7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
213,2003.0,3.9,90.0,8.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
214,2014.0,3.89,86.0,8.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
215,2011.0,3.88,94.0,8.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
216,2015.0,3.88,87.0,6.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
217,2005.0,3.87,88.0,8.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
218,2006.0,3.87,84.0,7.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
219,2004.0,3.85,91.0,9.1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
