,Year_of_Release,Global_Sales,Critic_Score,User_Score,Genre__Action,Genre__Adventure,Genre__Fighting,Genre__Misc,Genre__Platform,Genre__Puzzle,Genre__Racing,Genre__Role-Playing,Genre__Shooter,Genre__Simulation,Genre__Sports,Genre__Strategy,Rating__AO,Rating__E,Rating__E10+,Rating__M,Rating__RP,Rating__T
114,2008.0,5.48,81.0,87.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
115,2011.0,5.48,96.0,86.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
116,2014.0,5.48,97.0,79.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
117,2001.0,5.47,93.0,83.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
118,2001.0,5.42,66.0,71.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
119,2008.0,5.39,85.0,76.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
120,2016.0,5.38,93.0,79.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
121,2009.0,5.33,83.0,73.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
122,2000.0,5.3,94.0,89.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
123,2012.0,5.29,84.0,67.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
124,2003.0,5.29,85.0,66.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
125,2014.0,5.27,81.0,54.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
126,2009.0,5.26,90.0,88.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
127,2012.0,5.22,84.0,81.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
128,2004.0,5.21,89.0,88.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
129,2007.0,5.19,85.0,86.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
130,2012.0,5.16,90.0,61.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
131,2012.0,5.14,88.0,40.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
132,2003.0,5.13,68.0,76.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
133,2006.0,5.12,92.0,85.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
134,2010.0,5.1,80.0,65.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
135,2009.0,5.09,84.0,75.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
136,2007.0,5.08,90.0,80.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
137,2010.0,5.07,89.0,80.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
138,1996.0,5.05,91.0,90.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
139,2006.0,5.03,86.0,80.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
140,1999.0,5.02,92.0,92.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
141,2007.0,4.98,82.0,82.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
142,2007.0,4.98,68.0,71.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
143,2008.0,4.93,93.0,85.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
144,2007.0,4.92,88.0,81.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145,2005.0,4.91,88.0,80.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
146,2010.0,4.84,93.0,82.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
147,2007.0,4.82,81.0,73.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
148,2010.0,4.8,92.0,87.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
149,1999.0,4.79,88.0,90.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
150,2007.0,4.76,80.0,54.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
151,2000.0,4.73,62.0,77.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
152,2011.0,4.73,94.0,87.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
153,2000.0,4.68,98.0,77.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
154,2002.0,4.67,82.0,82.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
155,1996.0,4.63,91.0,86.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
156,2008.0,4.62,73.0,76.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
157,2015.0,4.62,86.0,81.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
158,2002.0,4.6,96.0,89.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
159,2007.0,4.6,86.0,84.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
160,2013.0,4.59,86.0,84.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
161,2011.0,4.57,91.0,82.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
162,2004.0,4.53,91.0,79.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
163,2007.0,4.53,85.0,79.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
164,2006.0,4.49,84.0,82.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
165,2015.0,4.48,84.0,64.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
166,2002.0,4.48,76.0,79.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
167,2016.0,4.46,77.0,34.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
168,2005.0,4.45,94.0,89.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
169,2015.0,4.43,81.0,85.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
170,2012.0,4.42,77.0,79.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
171,2001.0,4.41,97.0,75.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
172,2006.0,4.39,86.0,89.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
173,2006.0,4.38,94.0,87.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
174,2005.0,4.37,82.0,91.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
175,2010.0,4.36,56.0,83.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
176,2006.0,4.34,86.0,81.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
177,2005.0,4.33,87.0,90.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
178,2013.0,4.32,93.0,90.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
179,2008.0,4.27,89.0,65.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
180,2001.0,4.24,79.0,73.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
181,2009.0,4.23,91.0,89.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
182,2004.0,4.23,91.0,93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
183,2011.0,4.22,80.0,75.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
184,2015.0,4.22,88.0,62.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
185,2013.0,4.22,84.0,42.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
186,2006.0,4.21,85.0,87.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
187,2005.0,4.21,80.0,78.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
188,2003.0,4.2,80.0,75.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
189,2007.0,4.19,80.0,71.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
190,2011.0,4.19,80.0,72.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
191,2009.0,4.16,94.0,73.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
192,2002.0,4.14,95.0,77.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
193,1997.0,4.12,96.0,91.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
194,2007.0,4.09,91.0,79.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
195,2016.0,4.08,88.0,84.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
196,2007.0,4.07,93.0,89.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
197,2010.0,4.05,84.0,81.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
198,2007.0,4.05,90.0,83.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
199,2007.0,4.05,56.0,60.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
200,2014.0,4.05,80.0,63.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
201,2000.0,4.05,85.0,85.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
